Model,Accuracy_H1N1,Accuracy_Seasonal,Final_Accuracy,Precision_H1N1,Precision_Seasonal,Recall_H1N1,Recall_Seasonal
Logistic Regression,0.8473730188443779,0.7791089479595658,0.8132409834019718,0.7093333333333334,0.7699517182618574,0.47107438016528924,0.7384908744211387
Decision Tree,0.8249095220267066,0.7330587794833395,0.778984150755023,0.32762691853600945,0.6120947970580224,0.6776556776556777,0.7586090479405807
Random Forest,0.8489953825034319,0.7803569200049919,0.8146761512542119,0.4397874852420307,0.7453010078997548,0.7405566600397614,0.7683235046335299
